-- ============================================================================
-- Query 05: Storm Onset Detail — All ASH Samples 08:42 to 08:48
-- ============================================================================
-- Database: POST2P (DBID: 2771519206)
-- Snap Range: 233938 - 233941 (09-MAR-2026 08:00 to 09:30)
-- Purpose: Capture every ASH sample at the exact start of the mutex storm to identify the first holder
-- 
-- SQL Query:
--   SELECT sample_time, session_id, session_serial#, user_id,
--          sql_id, sql_opname, module, machine, program,
--          event, session_state,
--          blocking_session, blocking_session_serial#
--   FROM   dba_hist_active_sess_history
--   WHERE  dbid = 2771519206
--     AND  snap_id BETWEEN 233938 AND 233941
--     AND  sample_time BETWEEN
--          TO_TIMESTAMP('2026-03-09 08:42:00','YYYY-MM-DD HH24:MI:SS') AND
--          TO_TIMESTAMP('2026-03-09 08:48:00','YYYY-MM-DD HH24:MI:SS')
--   ORDER BY sample_time, session_id;
-- 
-- Notes: 7,108 rows — shows SID 3082 as first holder at 08:47:12
-- ============================================================================
SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,USER_ID,SQL_ID,SQL_OPNAME,MODULE,MACHINE,PROGRAM,EVENT,SESSION_STATE,BLOCKING_SESSION,BLOCKING_SESSION_SERIAL#
09-MAR-26 08.42.09.761000000 AM,5214,20288,0,,,,dru104a,oracle@dru104a (ARC1),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,8491,22349,0,,,,dru104a,oracle@dru104a (ARCA),log file sequential read,WAITING,,
09-MAR-26 08.42.09.761000000 AM,5321,27391,267,626yr7u3ypr34,UPSERT,SQL*Plus,dru822a,oracle@dru104a (P006),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,2545,1,0,,,,dru104a,oracle@dru104a (DBWD),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,7228,29019,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,8299,56235,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,1485,3,0,,,,dru104a,oracle@dru104a (DBW4),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.42.09.761000000 AM,6501,54454,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.42.19.887000000 AM,5214,20288,0,,,,dru104a,oracle@dru104a (ARC1),,ON CPU,,
09-MAR-26 08.42.19.887000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.42.19.887000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.42.19.887000000 AM,2439,3,0,,,,dru104a,oracle@dru104a (LGWR),log file parallel write,WAITING,,
09-MAR-26 08.42.19.887000000 AM,8693,61399,267,626yr7u3ypr34,UPSERT,SQL*Plus,dru822a,sqlplus@dru822a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.42.30.024000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.42.30.024000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.42.30.024000000 AM,1515,25657,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.42.30.024000000 AM,5214,20288,0,,,,dru104a,oracle@dru104a (ARC1),,ON CPU,,
09-MAR-26 08.42.40.084000000 AM,1706,17945,267,,,UpdateDatabase@drum711a (TNS V1-V3),drum711a,UpdateDatabase@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.42.40.084000000 AM,1379,3,0,,,,dru104a,oracle@dru104a (DBW3),db file parallel write,WAITING,,
09-MAR-26 08.42.40.084000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,
09-MAR-26 08.42.40.084000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
09-MAR-26 08.42.40.084000000 AM,6259,38501,267,,,preUploadMW@drum711a (TNS V1-V3),drum711a,preUploadMW@drum711a (TNS V1-V3),,ON CPU,,
09-MAR-26 08.42.40.084000000 AM,5214,20288,0,,,,dru104a,oracle@dru104a (ARC1),,ON CPU,,
09-MAR-26 08.42.40.084000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.42.50.187000000 AM,4793,22565,0,,,,dru104a,oracle@dru104a (NSA3),,ON CPU,,
09-MAR-26 08.42.50.187000000 AM,4585,55561,0,,,,dru104a,oracle@dru104a (NSA2),,ON CPU,,
