-- ============================================================================
-- Query 06: Mutex Holders / Blocking Sessions Ranked by Wait Count
-- ============================================================================
-- Purpose: Identify which sessions held the library cache mutex and caused
--          the most blocking. Ranks sessions by total wait events they caused.
-- Result:  Session 322/45335 (MMON_SLAVE) caused 102,342 cascading waits.
--          Session 3082/44313 (ABL_DBOBJECTS, drvl1078) caused 7,141 direct waits.
-- Run on:  POST2P (DBID 2771519206), dru104a
-- Date:    March 2026 (post-incident investigation)
-- ============================================================================

-- SQL Query:
-- SELECT blocking_session, blocking_session_serial#,
--        COUNT(*) wait_count,
--        COUNT(DISTINCT session_id) distinct_waiters,
--        MIN(sample_time) first_wait,
--        MAX(sample_time) last_wait
-- FROM dba_hist_active_sess_history
-- WHERE dbid = 2771519206
--   AND instance_number = 1
--   AND snap_id BETWEEN 233938 AND 233941
--   AND event = 'library cache: mutex X'
--   AND blocking_session IS NOT NULL
-- GROUP BY blocking_session, blocking_session_serial#
-- ORDER BY COUNT(*) DESC;

BLOCKING_SESSION,BLOCKING_SESSION_SERIAL#,WAIT_COUNT,DISTINCT_WAITERS,FIRST_WAIT,LAST_WAIT
322,45335,102342,2878,09-MAR-26 08.47.12.774000000 AM,09-MAR-26 09.23.03.815000000 AM
3082,44313,7141,153,09-MAR-26 08.47.12.774000000 AM,09-MAR-26 09.23.03.815000000 AM
2603,115,108,108,09-MAR-26 09.24.38.087000000 AM,09-MAR-26 09.24.38.087000000 AM
9876,45395,8,8,09-MAR-26 08.52.15.963000000 AM,09-MAR-26 08.52.15.963000000 AM
6389,64669,6,6,09-MAR-26 09.24.38.087000000 AM,09-MAR-26 09.24.38.087000000 AM
6285,45395,6,6,09-MAR-26 09.24.38.087000000 AM,09-MAR-26 09.24.38.087000000 AM
3928,18055,4,4,09-MAR-26 08.52.04.758000000 AM,09-MAR-26 08.52.04.758000000 AM
8511,20002,4,4,09-MAR-26 09.24.26.361000000 AM,09-MAR-26 09.24.26.361000000 AM
5520,21242,4,4,09-MAR-26 09.24.26.361000000 AM,09-MAR-26 09.24.26.361000000 AM
2017,22175,3,3,09-MAR-26 08.50.39.586000000 AM,09-MAR-26 08.50.39.586000000 AM
5437,13587,2,2,09-MAR-26 08.53.09.599000000 AM,09-MAR-26 08.53.09.599000000 AM
5311,44383,2,2,09-MAR-26 09.24.26.361000000 AM,09-MAR-26 09.24.26.361000000 AM
1936,45769,2,2,09-MAR-26 09.24.05.945000000 AM,09-MAR-26 09.24.26.361000000 AM
8619,52811,2,2,09-MAR-26 09.24.16.240000000 AM,09-MAR-26 09.24.48.274000000 AM
2456,44197,2,2,09-MAR-26 09.24.16.240000000 AM,09-MAR-26 09.24.16.240000000 AM
6907,65375,1,1,09-MAR-26 09.24.05.945000000 AM,09-MAR-26 09.24.05.945000000 AM
7241,18217,1,1,09-MAR-26 09.24.26.361000000 AM,09-MAR-26 09.24.26.361000000 AM
5217,45379,1,1,09-MAR-26 09.24.05.945000000 AM,09-MAR-26 09.24.05.945000000 AM
3349,291,1,1,09-MAR-26 09.24.26.361000000 AM,09-MAR-26 09.24.26.361000000 AM
1134,83,1,1,09-MAR-26 09.24.16.240000000 AM,09-MAR-26 09.24.16.240000000 AM
