-- ============================================================================
-- Query 07: Blocking Sessions 322 and 3082 — Combined Activity with P1/P2/P3
-- ============================================================================
-- Purpose: Track the parallel activity of MMON_SLAVE (322) and root blocker
--          (3082) during the storm, including P1/P2/P3 wait parameters.
--          This shows: (1) When MMON transitioned from ON CPU to mutex waiting,
--          (2) Session 3082's redo block# progression proving sequential scanning,
--          (3) The exact P2 value encoding holder SID 3082.
-- Result:  83 rows showing both sessions side-by-side with P1/P2/P3 parameters.
-- Run on:  POST2P (DBID 2771519206), dru104a
-- Date:    March 2026 (post-incident investigation)
-- ============================================================================

-- SQL Query:
-- SELECT sample_time, session_id, session_serial#, user_id, sql_id, sql_opname,
--        module, machine, program, event, session_state,
--        p1text, p1, p2text, p2, p3text, p3
-- FROM dba_hist_active_sess_history
-- WHERE dbid = 2771519206
--   AND instance_number = 1
--   AND snap_id BETWEEN 233938 AND 233941
--   AND session_id IN (322, 3082)
-- ORDER BY sample_time, session_id;

SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,USER_ID,SQL_ID,SQL_OPNAME,MODULE,MACHINE,PROGRAM,EVENT,SESSION_STATE,P1TEXT,P1,P2TEXT,P2,P3TEXT,P3
09-MAR-26 08.40.08.418000000 AM,3082,42787,267,1381vc9ny18sn,SELECT,SQL*Plus,drvl141,sqlplus@drvl141 (TNS V1-V3),,ON CPU,address,259444923272,number,155,tries,0
09-MAR-26 08.40.18.633000000 AM,3082,42787,267,1381vc9ny18sn,SELECT,SQL*Plus,drvl141,sqlplus@drvl141 (TNS V1-V3),,ON CPU,file#,10932,block#,1794047,blocks,1
09-MAR-26 08.40.18.633000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,0,,0,,0
09-MAR-26 08.41.09.155000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,idn,41804,value,0,where,49
09-MAR-26 08.41.29.419000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,0,,0,,0
09-MAR-26 08.41.49.585000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,0,,0,,0
09-MAR-26 08.42.40.084000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,idn,3981144484,value,6876242640896,where,124
09-MAR-26 08.43.00.283000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,0,,0,,0
09-MAR-26 08.43.20.455000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,0,,0,,0
09-MAR-26 08.43.40.642000000 AM,322,45335,0,,,MMON_SLAVE,dru104a,oracle@dru104a (M000),,ON CPU,,0,,0,,0
