-- ============================================================================
-- Query 08: All Sessions from drvl1078 — Activity 08:30 to 08:50
-- ============================================================================
-- Database: POST2P (DBID: 2771519206)
-- Snap Range: 233938 - 233941 (09-MAR-2026 08:00 to 09:30)
-- Purpose: Show all ASH activity from machine drvl1078 (where SID 3082 originated) around the storm onset
-- 
-- SQL Query:
--   SELECT sample_time, session_id, session_serial#, user_id,
--          sql_id, sql_opname, module, program,
--          event, session_state, blocking_session
--   FROM   dba_hist_active_sess_history
--   WHERE  dbid = 2771519206
--     AND  snap_id BETWEEN 233938 AND 233941
--     AND  machine = 'drvl1078'
--     AND  sample_time BETWEEN
--          TO_TIMESTAMP('2026-03-09 08:30:00','YYYY-MM-DD HH24:MI:SS') AND
--          TO_TIMESTAMP('2026-03-09 08:50:00','YYYY-MM-DD HH24:MI:SS')
--   ORDER BY sample_time, session_id;
-- 
-- Notes: 9,291 rows — comprehensive view of drvl1078 sessions before and during storm
-- ============================================================================
SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,USER_ID,SQL_ID,SQL_OPNAME,MODULE,PROGRAM,EVENT,SESSION_STATE,BLOCKING_SESSION
09-MAR-26 08.30.02.288000000 AM,7326,16690,198,424uf9yukmuqx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.12.504000000 AM,236,35465,267,7k4wvmhz3bnuq,PL/SQL EXECUTE,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.12.504000000 AM,3082,29459,267,4ckpdc50q1p94,INSERT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.12.504000000 AM,3111,20833,267,dg25fbjrs5dgx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.12.504000000 AM,3643,5155,198,9fp0xr0z30gfx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.12.504000000 AM,6074,2587,267,2hpn1zc143ctw,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.12.504000000 AM,6584,56590,267,axu7ck5bpfmhr,PL/SQL EXECUTE,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.12.504000000 AM,7012,56967,267,7durh24kdq0cj,UPDATE,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file scattered read,WAITING,
09-MAR-26 08.30.12.504000000 AM,7019,1170,267,ggya7v3s8dcgk,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.12.504000000 AM,7326,16690,198,424uf9yukmuqx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.12.504000000 AM,7545,44991,267,3ck64g51765xm,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.12.504000000 AM,7850,47533,267,g775h0y7qywtb,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.12.504000000 AM,8185,6603,267,3vsvajd723v96,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file scattered read,WAITING,
09-MAR-26 08.30.12.504000000 AM,9230,47031,267,9gnjygu2zhjqr,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.22.569000000 AM,2663,27705,267,dg25fbjrs5dgx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.22.569000000 AM,3082,29459,267,4ckpdc50q1p94,INSERT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.22.569000000 AM,3108,9301,198,32165cgqj59cq,UPDATE,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.22.569000000 AM,3111,20833,267,dg25fbjrs5dgx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.22.569000000 AM,7012,56967,267,7durh24kdq0cj,UPDATE,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.22.569000000 AM,7326,16690,198,424uf9yukmuqx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.22.569000000 AM,7545,44991,267,3ck64g51765xm,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.22.569000000 AM,8185,6603,267,3vsvajd723v96,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file scattered read,WAITING,
09-MAR-26 08.30.22.569000000 AM,9967,25731,198,32165cgqj59cq,UPDATE,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
09-MAR-26 08.30.32.712000000 AM,2663,27705,267,dg25fbjrs5dgx,SELECT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),,ON CPU,
09-MAR-26 08.30.32.712000000 AM,3082,29459,267,4ckpdc50q1p94,INSERT,SQL*Plus,sqlplus@drvl1078 (TNS V1-V3),db file sequential read,WAITING,
