-- ============================================================================
-- Query 11: Root Blocker Session 3082/44313 — Full ASH Timeline
-- ============================================================================
-- Purpose: Capture every ASH sample for SID 3082 during the incident window
--          to trace its complete activity from normal operations through the
--          redo-scanning operation that caused the mutex storm.
-- Result:  76 ASH samples showing:
--          - 08:30-08:32: Normal INSERT w/ serial# 29459 from drvl1078
--          - 08:37-08:40: SELECT w/ serial# 42363/42787 from drvl141
--          - 08:47-09:23: Root blocker w/ serial# 44313 from drvl1078
--            (log file sequential read + ON CPU, scanning redo logs 987952/987953)
-- Run on:  POST2P (DBID 2771519206), dru104a
-- Date:    March 2026 (post-incident investigation)
-- ============================================================================

-- SQL Query:
-- SELECT sample_time, session_id, session_serial#, sql_id, sql_opname,
--        event, session_state, machine
-- FROM dba_hist_active_sess_history
-- WHERE dbid = 2771519206
--   AND instance_number = 1
--   AND snap_id BETWEEN 233938 AND 233941
--   AND session_id = 3082
-- ORDER BY sample_time;

SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,SQL_ID,SQL_OPNAME,EVENT,SESSION_STATE,MACHINE
09-MAR-26 08.30.12.504000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.30.22.569000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.30.32.712000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.30.42.820000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.30.52.874000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.31.02.981000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.31.13.099000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.31.23.158000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.31.33.303000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.31.43.410000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.31.53.468000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.32.03.578000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.32.13.704000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.32.23.765000000 AM,3082,29459,4ckpdc50q1p94,INSERT,db file sequential read,WAITING,drvl1078
09-MAR-26 08.37.06.618000000 AM,3082,42363,1381vc9ny18sn,SELECT,,ON CPU,drvl141
09-MAR-26 08.37.16.762000000 AM,3082,42365,3hcn857uf1as7,SELECT,,ON CPU,drvl141
09-MAR-26 08.40.08.418000000 AM,3082,42787,1381vc9ny18sn,SELECT,,ON CPU,drvl141
09-MAR-26 08.40.18.633000000 AM,3082,42787,1381vc9ny18sn,SELECT,,ON CPU,drvl141
