SAMPLE_TIME,SESSION_ID,SESSION_SERIAL#,USER_ID,USERNAME,SQL_ID,SQL_OPNAME,SQL_PLAN_OPERATION,MODULE,MACHINE,PROGRAM,EVENT,BLOCKING_SESSION,BLOCKING_SESSION_SERIAL#
09-MAR-26 09.23.14.641000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,LOAD AS SELECT,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),CSS initialization,,
09-MAR-26 09.23.14.641000000 AM,5680,13,267,ABL_DBOBJECTS,8fkc0n80mty8y,TRUNCATE TABLE,DDL STATEMENT,SQL Loader Conventional Path Load,drvl140,sqlldr@drvl140 (TNS V1-V3),local write wait,1167,3
09-MAR-26 09.23.24.741000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),direct path read,,
09-MAR-26 09.23.35.277000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.23.45.547000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),direct path read,,
09-MAR-26 09.23.55.673000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.24.05.945000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.24.16.240000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.24.26.361000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.24.38.087000000 AM,1750,2249,267,ABL_DBOBJECTS,7x6qn1dz83c0k,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.24.48.274000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,INDEX,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.24.58.476000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,INDEX,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.25.08.557000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.25.18.801000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.25.28.978000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.25.39.050000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,INDEX,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.25.49.266000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),db file parallel read,,
09-MAR-26 09.25.59.447000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,INDEX,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.26.09.524000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.26.19.704000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),db file parallel read,,
09-MAR-26 09.26.29.894000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
09-MAR-26 09.26.39.965000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),db file parallel read,,
09-MAR-26 09.26.50.155000000 AM,1750,2249,267,ABL_DBOBJECTS,265hrvacvmp0w,CREATE TABLE,TABLE ACCESS,SQL*Plus,drvl1078,sqlplus@drvl1078 (TNS V1-V3),,,
