MINUTE_BUCKET,DDL_SAMPLES,MUTEX_WAIT_SAMPLES,MUTEX_DISTINCT_SESSIONS,TOTAL_SAMPLES
09-MAR-26,0,0,0,21
09-MAR-26,0,0,0,400
09-MAR-26,0,0,0,536
09-MAR-26,0,0,0,406
09-MAR-26,0,0,0,428
09-MAR-26,0,0,0,343
09-MAR-26,0,0,0,382
09-MAR-26,0,0,0,310
09-MAR-26,0,0,0,310
09-MAR-26,0,0,0,227
09-MAR-26,0,0,0,310
09-MAR-26,0,0,0,347
09-MAR-26,0,0,0,374
09-MAR-26,0,0,0,339
09-MAR-26,0,0,0,357
09-MAR-26,0,0,0,450
09-MAR-26,0,0,0,438
09-MAR-26,0,0,0,445
09-MAR-26,0,0,0,454
09-MAR-26,0,0,0,362
09-MAR-26,0,0,0,355
09-MAR-26,0,0,0,531
09-MAR-26,0,0,0,431
09-MAR-26,0,0,0,450
09-MAR-26,0,0,0,457
09-MAR-26,0,0,0,388
09-MAR-26,0,0,0,474
09-MAR-26,0,0,0,354
09-MAR-26,0,0,0,406
09-MAR-26,0,0,0,320
09-MAR-26,0,0,0,230
09-MAR-26,0,0,0,297
09-MAR-26,0,0,0,302
09-MAR-26,0,0,0,279
09-MAR-26,0,0,0,244
09-MAR-26,0,0,0,244
09-MAR-26,0,0,0,290
09-MAR-26,0,0,0,265
09-MAR-26,0,0,0,244
09-MAR-26,0,0,0,240
09-MAR-26,0,0,0,220
09-MAR-26,0,0,0,317
09-MAR-26,0,0,0,288
09-MAR-26,0,0,0,209
09-MAR-26,0,1,1,228
09-MAR-26,0,0,0,207
09-MAR-26,0,0,0,263
09-MAR-26,0,0,0,262
09-MAR-26,0,2088,517,2361
09-MAR-26,0,4679,850,5119
09-MAR-26,0,5544,974,6005
09-MAR-26,0,5883,1281,6419
09-MAR-26,0,8022,1361,8766
09-MAR-26,0,8351,1424,9104
09-MAR-26,0,1423,1423,1537
09-MAR-26,0,6198,3101,6373
09-MAR-26,0,12506,3136,12863
09-MAR-26,0,12663,3179,13029
09-MAR-26,0,12830,3218,13196
09-MAR-26,0,13039,3279,13413
09-MAR-26,0,13237,3329,13616
09-MAR-26,0,13537,3406,13908
09-MAR-26,6,3423,3413,6522
09-MAR-26,6,176,156,2703
09-MAR-26,6,5,4,779
09-MAR-26,5,9,9,679
